2016preVFP,39,11
2016postVFP,34,12
2017,0,17
2017,19,2
2017,22,8
2017,22,22
2017,32,3
2017,33,19
2017,33,21
2017,34,17
2017,34,29
2017,34,38
2017,35,6
2017,36,0
2017,36,5
2017,36,38
2017,36,62
2017,36,78
2017,36,83
2017,37,9
2017,37,12
2017,38,7
2017,38,10
2017,38,34
2017,38,37
2017,39,9
2017,39,27
2017,39,74
2017,39,77
2017,39,93
2017,39,104
2017,48,2
2017,48,3
2017,60,7
2018,15,4
2018,15,5
2018,15,21
2018,15,33
2018,15,40
2018,15,59
2018,15,65
2018,15,69
2018,15,70
2018,16,0
2018,16,16
2018,16,33
2018,16,91
2018,16,92
2018,16,96
2018,16,98
2018,16,107
2018,16,110
2018,16,122
2018,16,128
2018,16,130
2018,16,140
2018,16,143
2018,16,144
2018,16,158
2018,17,0
2018,19,0
2018,20,0
2018,21,0
2018,21,1
2018,24,0
2018,24,6
2018,25,2
2018,25,3
2018,26,1
2018,26,12
2018,27,3
2018,29,18
2018,29,21
2018,29,52
2018,30,26
2018,30,29
2018,30,31
2018,31,0
2018,32,7
2018,32,12
2018,32,32
2018,32,54
2018,32,68
2018,32,85
2018,32,87
2018,32,90
2018,32,99
2018,32,112
2018,32,115
2018,32,144
2018,32,157
2018,33,12
2018,33,40
2018,33,74
2018,33,82
2018,33,87
2018,33,94
2018,33,100
2018,33,109
2018,33,110
2018,33,116
2018,33,117
2018,33,119
2018,33,124
2018,34,53
2018,34,55
2018,34,56
2018,35,8
2018,35,28
2018,35,39
2018,35,48
2018,35,55
2018,36,10
2018,36,12
2018,36,22
2018,36,36
2018,36,46
2018,36,54
2018,36,56
2018,36,72
2018,36,88
2018,36,104
2018,36,107
2018,36,133
2018,36,147
2018,36,185
2018,36,189
2018,36,201
2018,36,203
2018,36,208
2018,36,213
2018,36,263
2018,36,271
2018,36,278
2018,36,302
2018,36,304
2018,36,306
2018,36,307
2018,36,316
2018,38,0
2018,41,0
2018,42,5
2018,56,0
2018,57,0
2018,57,1
2018,57,2
2018,57,4
2018,57,5
2018,57,8
